name,genre,country,seasons,episode_count,episode_minutes,started_broadcasting,finished_broadcasting
Guiding Light,Soap opera,United States,57,15762,"60, 30, 15",1952-06-30,
As the World Turns,Soap opera,United States,54,13858,"60, 30",1956-04-02,
General Hospital,Soap opera,United States,,12599,"60, 45, 30",1963-04-01,
Days of our Lives,Soap opera,United States,,11679,"60, 30",1965-11-08,
One Life to Live,Soap opera,United States,43,11096,"60, 45, 30",1968-07-15,2012-01-13
All My Children,Soap opera,United States,,10712,"60, 30",1970-01-05,2011-09-23
Eat Bulaga!,Variety Show,Philippines,,09640,150,1979-07-30,
The Young and the Restless,Soap opera,United States,,09730,"60, 30",1973-03-26,
Tetsuko Kuroyanagi's Talking Room(徹子の部屋),Talk Show,Japan,,09155,40､ 55､ 35,1976-02-02,
Search for Tomorrow,Soap opera,United States,,09130,"30, 15",1951-09-03,1986-12-26
100 Huntley Street,Daily Talk,Canada,,09000,"90, 60",1977-06-15,
Another World,Soap opera,United States,,08891,"90, 60, 30",1964-05-04,1999-06-25
Jeopardy!,Game show,United States,,08711,22,1964-03-30,
Waratte Iitomo!(笑っていいとも!),"Variety show, Talk show",Japan,,07506,58,1982-10-04,
Coronation Street,Soap opera,United Kingdom,50,07241,"60, 30",1960-12-09,
The Edge of Night,Soap opera,United States,,07420,30,1956-04-02,1984-12-28
Love of Life,Soap opera,United States,,07500,"15, 30, 25",1951-09-24,1980-02-01
The Price Is Right,Game show,United States,38,07279,"60, 30",1972-09-04,
Carosello,Entertainment,Italy,,07261,10,1957-01-03,1977-01-01
Sazae-san,Anime,Japan,,06345,30,1969-10-05,
Larry King Live,Talk Show,United States,,06120,60,1985-06-03,
Dafengche(大风车),Children's,China,,06050,45,1995-06-01,
The Bold and the Beautiful,Soap opera,United States,,06036,30,1987-03-23,
Neighbours,Soap opera,Australia,24,05690,30,1985-03-18,
Barátok közt,Soap opera,Hungary,13,05602,25,1998-10-18,
Wheel of Fortune,Game show,United States,,05300,30,1983-09-19,
The Doctors,Soap opera,United States,,05280,30,1963-04-01,1982-12-31
Emmerdale,Soap opera,United Kingdom,39,05296,30,1972-10-16,
The Secret Storm,Soap opera,United States,,05195,"30, 15",1954-02-01,1974-02-08
Bobino,Children,Canada,28,05170,30,1957-05-23,1985-06-14
Le Juste Prix,Game show,France,-,05170,35,1987-12-13,
Wheel of Fortune,Game show,Australia,25,05093,25,1981-07-21,2000-07-28
Home and Away,Soap opera,Australia,22,05000,30,1988-01-17,
"Gute Zeiten, schlechte Zeiten",Soap opera,Germany,,05051,24,1992-05-11,
Countdown,Game show,United Kingdom,60,04828,"24, 36",1982-11-02,
Striscia la notizia,Entertraintment,Italy,21,04579,35,1988-11-07,
The Oprah Winfrey Show,Talk show,United States,25,04561,60,1986-09-08,2011-05-25
Shortland Street,Soap opera,New Zealand,,04535,30,1992-05-25,
The Tonight Show Starring Johnny Carson,Talk showVariety show,United States,,04531,"105, 90, 60",1962-10-01,1992-05-22
Pyramid,Game show,United States,,04492,"22, 26",1973-03-26,2004-09-10
Egoli: Place of Gold,Soap opera,South Africa,18,04469,30,1992-04-06,
Blue Peter,Children's,United Kingdom,,04464,25,1958-10-16,
Unter Uns,Soap opera,Germany,,04406, ,1994-11-28,
Crossroads- Original series,Soap opera,United Kingdom,,04292,30,1964-11-02,1988-04-04
Familie,Soap opera,Belgium,,04318,30,1991-12-30,
Crossroads- Revived series,Soap opera,United Kingdom,,04292,30,2001-03-05,2003-05-30
Sesame Street,Children's,United States,41,04256,54,1969-11-10,
"Goede Tijden, Slechte Tijden",Soap opera,The Netherlands,,04150, ,1990-01-011990,
Verbotene Liebe,Soap opera,Germany,,04120,25,1995-01-02,
Marienhof,Soap opera,Germany,,04052,25,1992-10-01,
EastEnders,Soap opera,United Kingdom,25,03914,30,1985-02-19,
The Tonight Show with Jay Leno  original run,Talk showVariety show,United States,,03775,62,1992-05-25,2009-05-29
Wheel of Fortune,Game show,Denmark,,03559, ,1988-10-01,2001-01-012001
Ryan's Hope,Soap opera,United States,,03515,30,1975-07-07,1989-01-13
The Jerry Springer Show,Tabloid Talk show,United States,18,03600,60,1991-09-30,
Access Hollywood,Entertainment News,United States,,03265,30,1996-09-06,
Loving,Soap opera,United States,,03169,30,1983-06-26,1995-11-10
Malhação,Soap opera,Brazil,13,03137,30,1995-04-24,
Late Show with David Letterman,Talk ShowVariety Show,United States,,03115,62 Minutes 30 Seconds,1993-08-30,
The Friendly Giant,Children's,United StatesCanada,,03000,15,1953-01-011953,1985-03-01
Un posto al sole,Soap opera,Italy,,02957,25,1996-10-21,
Brookside,Soap opera,United Kingdom,,02915,30,1982-11-02,2003-11-02
Nodo Jiman(のど自慢),Music show,Japan,,02900,45,1953-03-15,
Late Night with Conan O'Brien,Talk ShowVariety Show,United States,,02725,59,1993-09-13,2009-02-20
Imperial Album(皇室アルバム),Documentary,Japan,,02690,15,1959-10-04,
Isidingo,Soap opera,South Africa,,02611,22-26,1998-07-07,
Hollyoaks,Soap opera,United Kingdom,14,02502,30,1995-10-23,
Fair City,Soap opera,Ireland,20,02500,30,1989-09-01,
